product_category_name_english,total_orders,total_items_sold,total_revenue,avg_price,avg_freight_value,avg_review_score
air_conditioning,246,289,59854.55,184.5105882352941,22.598581314878892,3.982698961937716
fixed_telephony,212,255,59816.54,216.92239215686274,17.65227450980392,3.7137254901960786
kitchen_dining_laundry_garden_furniture,241,274,57072.97,166.1751094890511,42.120401459854016,4.0036496350364965
audio,348,362,56255.32,139.69779005524862,15.703646408839779,3.794198895027624
books_general_interest,496,537,54182.54,84.36154562383614,16.53703910614525,4.478584729981378
small_appliances_home_oven_and_coffee,72,73,49245.9,638.2131506849315,36.388219178082196,4.438356164383562
construction_tools_lights,242,301,47447.14,132.74750830564784,24.88418604651163,3.9601328903654487
industry_commerce_and_business,232,265,46079.340000000004,145.27852830188678,28.60577358490566,4.079245283018868
construction_tools_safety,159,183,42504.02,211.87551912568307,20.38688524590164,3.9453551912568305
food,441,499,35794.68,57.57745490981964,14.155370741482965,4.160320641282565
market_place,274,305,33114.38,91.13367213114755,17.43806557377049,4.045901639344263
costruction_tools_garden,190,232,30283.94,108.17362068965517,22.36060344827586,4.116379310344827
fashion_shoes,235,257,27814.829999999998,89.49984435797666,18.72906614785992,4.223735408560311
signaling_and_security,138,197,27792.59,108.1982233502538,32.88091370558376,4.071065989847716
art,195,197,27485.53,120.08781725888325,19.43263959390863,4.040609137055838
drinks,287,361,26971.11,59.6394459833795,15.072770083102494,4.119113573407202
furniture_bedroom,90,103,23379.22,184.96893203883494,42.01378640776699,4.252427184466019
books_technical,256,263,22901.07,71.11114068441064,15.965171102661598,4.3726235741444865
food_drink,221,269,19337.77,55.54973977695167,16.337881040892196,4.366171003717472
costruction_tools_tools,97,103,17934.170000000002,154.40728155339806,19.710873786407767,4.271844660194175
fashion_male_clothing,106,125,12514.95,83.61864,16.50096,3.728
christmas_supplies,125,150,11928.75,58.25226666666667,21.27273333333333,3.88
fashion_underwear_beach,117,127,11160.02,73.27519685039371,14.598976377952756,4.015748031496063
tablets_printing_image,79,83,8754.61,90.70373493975903,14.773493975903614,4.024096385542169
cine_photo,63,70,7902.18,95.34957142857144,17.538714285714285,4.285714285714286
music,38,38,6724.860000000001,158.79868421052632,18.171315789473685,4.2105263157894735
furniture_mattress_and_upholstery,37,37,5904.75,116.84810810810811,42.739729729729724,3.891891891891892
dvds_blu_ray,56,61,5769.84,74.46868852459016,20.118852459016395,4.180327868852459
party_supplies,38,42,5285.38,106.31404761904763,19.528333333333336,3.8333333333333335
books_imported,50,57,5150.94,77.5238596491228,12.843508771929825,4.508771929824562
portateis_cozinha_e_preparadores_de_alimentos,13,14,4228.05,280.97357142857146,21.03,3.4285714285714284
fashio_female_clothing,36,45,3218.44,58.55422222222222,12.966666666666667,3.933333333333333
fashion_sport,26,29,2657.5499999999997,72.2248275862069,19.414827586206897,4.344827586206897
la_cuisine,13,14,2388.54,146.785,23.825,3.7142857142857144
arts_and_craftmanship,23,24,2184.14,75.58375,15.422083333333333,4.125
diapers_and_hygiene,25,37,2046.19,40.56189189189189,14.74054054054054,3.3783783783783785
flowers,29,33,1598.91,33.63757575757575,14.814242424242424,4.151515151515151
pc_gamer,7,8,1430.1,163.36875,15.393749999999999,3.625
home_comfort_2,24,30,1170.58,25.342333333333332,13.677,3.2666666666666666
cds_dvds_musicals,12,14,954.99,52.142857142857146,16.070714285714285,4.642857142857143
fashion_childrens_clothes,7,7,598.67,74.27857142857144,11.245714285714286,5.0
security_and_services,2,2,324.51,141.64499999999998,20.61,2.5
